,id,treatment,num_correct_nonland,belief1,num_land_first1,num_land_first3,num_land_first5,num_land_first10,word_order1_recalled,word_order2_recalled,word_order3_recalled,word_order4_recalled,word_order5_recalled,word_order6_recalled,word_order7_recalled,word_order8_recalled,word_order9_recalled,word_order10_recalled,word_order11_recalled,word_order12_recalled,word_order13_recalled,word_order14_recalled,word_order15_recalled,word_order16_recalled,word_order17_recalled,word_order18_recalled,word_order19_recalled,word_order20_recalled,word_order21_recalled,word_order22_recalled,word_order23_recalled,word_order24_recalled,word_order25_recalled,word_order26_recalled,word_order27_recalled,word_order28_recalled,word_order29_recalled,word_order30_recalled,word_order31_recalled,word_order32_recalled,word_order33_recalled,word_order34_recalled,word_order35_recalled,word_order36_recalled,word_order37_recalled,word_order38_recalled,word_order39_recalled,word_order40_recalled,num_correct_land,beginning,end,middle,total_correct,belief1_conf,frac_correct_land,time_cens
34,3659,4,11.0,25.0,1.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,9.0,1.0,0.0,0.0,20.0,64.0,0.45,78.483
35,3660,3,20.0,40.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,0.0,1.0,0.0,32.0,97.0,0.375,
36,3720,4,3.0,30.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,73.0,0.5,23.272
37,3723,3,7.0,45.0,1.0,2.0,3.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,1.0,15.0,55.0,0.53333336,
38,3728,3,18.0,40.0,1.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,12.0,1.0,0.0,0.0,30.0,73.0,0.4,
39,3731,5,4.0,58.0,1.0,2.0,4.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,10.0,78.0,0.6,24.429
40,3738,1,6.0,35.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,10.0,84.0,0.4,72.056
41,3758,2,8.0,25.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,13.0,85.0,0.3846154,46.412
42,3795,2,5.0,30.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,9.0,28.0,0.44444445,47.5
43,3811,5,6.0,50.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,0.0,1.0,0.0,14.0,68.0,0.5714286,99.259
