,posteriors1,posteriors2,id,treatment,prior,recall_num_orange,num_misremember_orange,num_misremember_blue
345,40,60,6357,8,30.0,5.0,0.0,0.0
346,52,88,5776,1,88.0,0.0,0.0,2.0
347,40,0,3472,3,19.0,5.0,0.0,0.0
348,50,48,9592,2,48.0,5.0,0.0,1.0
349,90,5,5630,6,40.0,7.0,1.0,0.0
350,80,80,10356,7,91.0,7.0,0.0,1.0
351,40,60,6566,2,37.0,7.0,0.0,1.0
352,30,100,11566,4,65.0,7.0,0.0,1.0
353,40,64,9833,5,40.0,1.0,1.0,0.0
354,20,98,10653,1,50.0,0.0,1.0,1.0
355,59,46,4443,4,80.0,1.0,0.0,1.0
356,75,10,6622,6,50.0,4.0,1.0,1.0
357,16,18,4769,3,32.0,1.0,0.0,2.0
358,70,30,4303,5,50.0,2.0,0.0,0.0
359,30,95,11433,7,65.0,1.0,1.0,0.0
360,70,30,5660,5,50.0,9.0,0.0,0.0
361,35,0,9641,8,25.0,3.0,2.0,0.0
362,40,88,10212,4,72.0,2.0,1.0,2.0
363,60,100,11526,4,85.0,4.0,1.0,2.0
364,75,3,10603,6,32.0,4.0,1.0,0.0
365,72,41,10846,6,53.0,3.0,1.0,1.0
366,25,25,11562,2,50.0,10.0,0.0,0.0
367,40,30,6103,5,60.0,5.0,0.0,1.0
368,25,25,10521,2,50.0,1.0,0.0,0.0
369,72,32,11483,2,45.0,4.0,0.0,1.0
370,60,96,9981,4,82.0,3.0,1.0,2.0
371,45,54,9516,5,58.0,3.0,0.0,0.0
372,70,40,5753,3,35.0,3.0,0.0,0.0
373,97,3,10282,8,35.0,0.0,1.0,0.0
374,60,32,10660,6,55.0,1.0,1.0,1.0
375,40,60,6590,7,55.0,1.0,2.0,1.0
376,50,55,9891,1,50.0,4.0,0.0,0.0
377,50,50,11317,2,50.0,7.0,0.0,0.0
378,88,3,11325,6,40.0,6.0,2.0,0.0
379,80,40,11327,5,50.0,5.0,1.0,0.0
380,39,76,6609,4,60.0,0.0,1.0,1.0
381,60,63,10230,1,55.0,3.0,0.0,2.0
382,79,18,4462,3,38.0,2.0,1.0,0.0
383,79,20,11246,6,36.0,2.0,1.0,1.0
384,86,0,5609,3,40.0,1.0,2.0,0.0
385,65,4,4242,8,38.0,3.0,2.0,0.0
386,60,40,11187,1,50.0,1.0,1.0,1.0
387,40,60,10604,7,80.0,3.0,0.0,1.0
388,47,34,11398,2,78.0,2.0,1.0,1.0
389,55,61,5673,4,60.0,1.0,1.0,2.0
390,46,54,11580,2,52.0,3.0,0.0,1.0
391,40,88,4282,4,75.0,4.0,0.0,0.0
392,91,8,5283,6,50.0,9.0,1.0,0.0
393,90,10,6618,3,70.0,2.0,1.0,0.0
394,90,10,5363,6,60.0,3.0,2.0,0.0
395,25,0,6650,6,33.0,5.0,1.0,0.0
396,75,35,4471,5,50.0,6.0,0.0,0.0
397,50,50,6360,7,76.0,6.0,0.0,0.0
398,70,70,11429,4,70.0,2.0,0.0,2.0
399,78,12,10534,8,40.0,4.0,1.0,0.0
400,56,41,10001,6,35.0,1.0,2.0,1.0
401,70,30,10113,5,40.0,0.0,0.0,1.0
402,50,50,5486,1,50.0,0.0,0.0,2.0
403,69,40,9786,5,85.0,3.0,2.0,1.0
404,70,5,9934,3,50.0,3.0,1.0,0.0
405,50,63,6544,1,66.0,1.0,1.0,1.0
406,80,35,3278,3,35.0,5.0,2.0,0.0
407,64,71,10841,4,68.0,3.0,0.0,1.0
408,40,80,6234,1,81.0,0.0,1.0,1.0
409,35,21,6503,8,32.0,4.0,0.0,1.0
410,81,36,11570,7,81.0,0.0,2.0,0.0
411,60,0,10629,8,39.0,4.0,0.0,0.0
412,65,55,3382,4,90.0,2.0,1.0,0.0
413,88,100,4951,6,16.0,8.0,0.0,0.0
414,70,100,10513,7,85.0,1.0,1.0,1.0
415,72,29,10226,5,50.0,0.0,1.0,2.0
416,48,47,11037,2,50.0,10.0,0.0,0.0
417,44,25,10092,8,47.0,1.0,0.0,1.0
418,80,50,10649,2,35.0,2.0,2.0,1.0
419,66,0,5551,6,36.0,1.0,0.0,0.0
420,40,60,6344,7,80.0,1.0,0.0,1.0
421,75,5,4823,6,40.0,2.0,2.0,1.0
422,40,90,5864,4,90.0,6.0,1.0,1.0
423,50,85,4530,1,70.0,2.0,0.0,0.0
424,48,46,5954,3,34.0,3.0,1.0,0.0
425,50,0,11127,8,23.0,1.0,1.0,0.0
426,70,37,1999,2,55.0,0.0,1.0,1.0
427,75,5,6683,6,28.0,4.0,0.0,0.0
428,50,0,11386,8,30.0,9.0,0.0,0.0
429,10,3,4879,6,48.0,3.0,1.0,0.0
430,25,98,11257,7,72.0,3.0,1.0,2.0
431,60,4,2544,3,40.0,4.0,2.0,0.0
432,52,48,10337,5,63.0,5.0,0.0,1.0
433,55,0,6587,8,33.0,0.0,0.0,0.0
434,80,50,11569,4,85.0,2.0,0.0,0.0
435,30,52,11574,5,47.0,10.0,0.0,0.0
436,44,66,9874,2,50.0,4.0,0.0,0.0
437,75,100,10104,4,87.0,1.0,1.0,1.0
438,63,0,10685,3,27.0,2.0,0.0,0.0
439,0,70,11193,7,80.0,2.0,1.0,1.0
440,100,0,10490,3,40.0,6.0,0.0,0.0
441,25,85,6369,7,65.0,3.0,0.0,1.0
